,factsetEntityId,factsetParentEntityId,factsetParentParentEntityId,factsetUltimateParentEntityId,factsetEntityName,factsetCompanyFSymId,factsetCompanyCurrency
0,000D0Q-E,,,000D0Q-E,Brandywine Realty Trust,L0TLL1-R,USD
1,000HJ4-E,,,000HJ4-E,Adtalem Global Education,W14WTL-R,USD
2,000LSZ-E,,,000LSZ-E,Hovnanian Enterprises,FPP8QK-R,USD
3,0011GH-E,,,0011GH-E,Brookfield,XF814J-R,CAD
4,0014W4-E,,,0014W4-E,UGI Corp,RS288R-R,USD
5,0019QT-E,09LDT7-E,,09LDT7-E,Sabre Holdings,BCMFYS-R,USD
6,001CQK-E,,,001CQK-E,ViaSat,JXR6TN-R,USD
7,001DPG-E,,,001DPG-E,Gulfport Energy,HYZPM4-R,USD
8,001DPG-E,,,001DPG-E,Gulfport Energy,Q8JWB3-R,USD
9,002111-E,,,002111-E,Telecom Italia,RT6ZD8-R,EUR
10,002171-E,09SD1S-E,,09SD1S-E,Level 3 Parent,K24Q4R-R,USD
11,0026C8-E,,,0026C8-E,Forward Air,TTJQP5-R,USD
12,003J23-E,,,003J23-E,Genting,PBSNPV-R,MYR
13,003J3F-E,,,003J3F-E,Genting Malaysia,SZGK9Q-R,MYR
14,003PCZ-E,,,003PCZ-E,James Hardie Industries,T34KZY-S,AUD
15,003XXN-E,,,003XXN-E,Security Benefit Life Ins,,
16,005RHW-E,,,005RHW-E,Medical Properties Trust,BL85VC-R,USD
17,007XMP-E,,,007XMP-E,Spirit AeroSystems Hldgs,SYJ221-R,USD
18,0091T9-E,0FXRLV-E,,0FXRLV-E,Outbrain,,
19,0094JK-E,,,0094JK-E,Archrock,WZVR2S-R,USD
20,009L9L-E,,,009L9L-E,Allison Transmiss Hldgs,D4VZNG-R,USD
21,009RJM-E,,,009RJM-E,EchoStar Corp,PM3F9R-R,USD
22,00B7L9-E,0GKHYH-E,,0K74W8-E,VistaJet Group Holding,,
23,00BYBX-E,00DDD2-E,,0794G2-E,iHeartMedia Capital I,P7L4XG-R,USD
24,00BYBX-E,00DDD2-E,,0794G2-E,iHeartMedia Capital I,QVGMT6-R,USD
25,00D493-E,,,00D493-E,CommScope Holding,WX2GPZ-R,USD
26,00DNJQ-E,00G546-E,,00G546-E,Desert Newco,W2TCHD-R,USD
27,00DW9D-E,0011GH-E,,0011GH-E,Brookfield Property Prtnr,XF814J-R,CAD
28,00F7B1-E,,,00F7B1-E,Taylor Morrison Home,G9LVM6-R,USD
29,00FHCG-E,,,00FHCG-E,Murphy USA,QLCML4-R,USD
30,00FPNC-E,,,00FPNC-E,Hilton Worldwide Holdings,MFQVZQ-R,USD
31,00G546-E,,,00G546-E,GoDaddy,W2TCHD-R,USD
32,05JLR3-E,,,05JLR3-E,Delek Group,V0FD1L-R,ILS
33,05KRKB-E,0CTHRF-E,,0CTHRF-E,Berkshire Partners,,
34,05KTRJ-E,0DJ452-E,,0DJ452-E,CDR,,
35,05L174-E,,,05L174-E,Howden Group Holdings,S9CW2R-S,GBP
36,05W4ZP-E,,,05W4ZP-E,Bohai Leasing,B99PLY-R,CNY
37,0635JK-E,05MVK9-E,,0014W4-E,AmeriGas Propane,RS288R-R,USD
38,067K38-E,06KYVP-E,,06KYVP-E,CNMK Holding Inc,DF2CV6-R,USD
39,067V99-E,,,067V99-E,TransDigm Group,Q8G78M-R,USD
40,069J8N-E,,,069J8N-E,AT&T,VLHKF9-R,USD
41,069RHY-E,,,069RHY-E,Rain Industries,VH18TM-R,INR
42,06K41V-E,069RHY-E,,069RHY-E,Rain Commodities (USA),VH18TM-R,INR
43,06KYVP-E,,,06KYVP-E,Cinemark Holdings,DF2CV6-R,USD
44,075ZB2-E,,,075ZB2-E,Knighthead Capital Mgmt,,
45,0794G2-E,,,0794G2-E,iHeartMedia,P7L4XG-R,USD
46,0794G2-E,,,0794G2-E,iHeartMedia,QVGMT6-R,USD
47,07WXZ8-E,,,07WXZ8-E,US Foods,MK2K6H-R,USD
48,09LDT7-E,,,09LDT7-E,Sabre Corp,BCMFYS-R,USD
49,09SD1S-E,,,09SD1S-E,Lumen Technologies /LA,K24Q4R-R,USD
50,09SNJS-E,,,09SNJS-E,Xenia Hotels & Resorts,WCPG8P-R,USD
51,0B34WJ-E,,,0B34WJ-E,United Airlines Holdings,QKJS7V-R,USD
52,0BN492-E,00F7B1-E,,00F7B1-E,TMM Holdings,G9LVM6-R,USD
53,0BYLG7-E,,,0BYLG7-E,Norwegian Cruise Line,W0731Q-R,USD
54,0CH2ZG-E,0NZV79-E,,0P1WYF-E,Armor Holdco,,
55,0CQHQC-E,0ZKP8X-E,,0ZKP8X-E,Summit Midstream Partners,DHD5TM-R,USD
56,0CTHRF-E,,,0CTHRF-E,Berkshire Partners Hldgs,,
57,0D6426-E,,,0D6426-E,Clearway Energy,CJ5TFB-R,USD
58,0D68G6-E,0XV4MR-E,,0XV4MR-E,Grubhub,,
59,0DBXQT-E,00FPNC-E,,00FPNC-E,Hilton Worldwide Finance,MFQVZQ-R,USD
60,0DJ452-E,,,0DJ452-E,"Clayton, Dubilier & Rice",,
61,0DQ4HV-E,,,0DQ4HV-E,XPLR Infrastructure,SDD54F-R,USD
62,0FGZ08-E,,,0FGZ08-E,SPX FLOW,DV623H-R,USD
