,securityId,name,isin,issuerCode,sedol,cusip,cusip9,fsymId,activeFlag,factsetEntityId,fsUltimateParentEntityId,fsParentEntityId,fsParentParentEntityId,factsetUniverseType,factsetEntityName,factsetCompanyId,factsetCompanyCurrency
0,66897398,MUELLER WATER PRODUCTS 144A W/O RTS 4 USD 06/15/2029,US624758AF53,MWA,BP2FLJ,624758AF,624758AF5,GMJMJZ-S,True,005ZYD-E,005ZYD-E,,,FI,Mueller Water Products,MWNNBS-R,USD
1,66962417,ROBLOX CORP 144A W/O RTS 3.875 USD 05/01/2030,US771049AA15,RBLX,BNHW2C,771049AA,771049AA1,RQTCX2-S,True,006T63-E,006T63-E,,,FI,Roblox,DX9NZT-R,USD
2,66950632,BROOKFIELD PPTY REIT INC 144A W/O RTS 4.5 USD 04/01/2027,US11284DAC92,BPR,BPBSB3,11284DAC,11284DAC9,S8BR60-S,True,0JXTZT-E,0011GH-E,00DW9D-E,0011GH-E,FI,Brookfield Property REIT,XF814J-R,CAD
3,317969,TELECOM ITALIA CAPITAL 7.721 USD 06/04/2038,US87927VAV09,TITIM,B39NQJ,87927VAV,87927VAV0,WVKRK2-S,True,005YX2-E,002111-E,002111-E,,FI,Telecom Italia Capital,RT6ZD8-R,EUR
4,68219910,COMMSCOPE LLC 144A W/O RTS 9.5 USD 12/15/2031,US20338MAA09,COMM,,20338MAA,20338MAA0,BMWNJ8-S,True,001MFP-E,00D493-E,00D493-E,,FI,CommScope,WX2GPZ-R,USD
5,67292696,SABRE GLBL INC 144A W/O RTS 8.625 USD 06/01/2027,US78573NAJ19,SABHLD,BQC803,78573NAJ,78573NAJ1,S1177H-S,True,0DRBZ5-E,09LDT7-E,0019QT-E,09LDT7-E,FI,Sabre GLBL,BCMFYS-R,USD
6,68164619,DELUXE CORP 144A W/O RTS 8.125 USD 09/15/2029,US248019AW14,DLX,BS898R,248019AW,248019AW1,NZPV3G-S,True,000HH9-E,000HH9-E,,,FI,Deluxe,LRHQLX-R,USD
7,67905559,CINEMARK USA INC 144A W/O RTS 7 USD 08/01/2032,US172441BH95,CNK,BSF1W5,172441BH,172441BH9,LNJ1GP-S,True,001539-E,06KYVP-E,067K38-E,06KYVP-E,FI,Cinemark USA,DF2CV6-R,USD
8,43036811,UNICREDIT SPA 144A W/O RTS 7.296 USD 04/02/2034,US904678AQ20,UCGIM,BJ0CMN,904678AQ,904678AQ2,GYFSNK-S,True,06Y2DF-E,06Y2DF-E,,,FI,UniCredit SpA,M60C0S-R,EUR
9,68227596,IHEARTCOMMUNICATIONS INC 144A W/O RTS 7.75 USD 08/15/2030,US45174HBM88,IHRT,BSPS7L,45174HBM,45174HBM8,FHJD1Y-S,True,07BQKB-E,0794G2-E,00BYBX-E,00DDD2-E,FI,iHeartCommunications,QVGMT6-R,USD
10,68316211,OT MIDCO LTD 144A W/O RTS 10 USD 02/15/2030,US68877AAA25,OB,,68877AAA,68877AAA2,H9BMC2-S,True,1056HJ-E,0FXRLV-E,0091T9-E,0FXRLV-E,FI,Ot Midco,,
11,66898397,BAUSCH HEALTH COS INC 144A W/O RTS 4.875 USD 06/01/2028,US071734AN72,BHCCN,BLB14D,071734AN,071734AN7,WH3137-S,True,09TZTP-E,09TZTP-E,,,FI,Bausch Health,W103Q3-R,CAD
12,68310576,DIRECTV FIN LLC/COINC 144A W/O RTS 10 USD 02/15/2031,US25461LAD47,DTV,,25461LAD,25461LAD4,XC6N41-S,True,0P1NDK-E,069J8N-E,0P2QZQ-E,069J8N-E,FI,DirecTV Financing,VLHKF9-R,USD
13,67298854,FORWARD AIR CORP 144A W/O RTS 9.5 USD 10/15/2031,US36267QAA22,FWRD,BSB826,36267QAA,36267QAA2,Q5J9P4-S,True,0XGSBJ-E,0026C8-E,0026C8-E,,FI,Clue Opco,TTJQP5-R,USD
14,67172401,SYNCHRONY FINANCIAL 7.25 USD 02/02/2033,US87165BAU70,SYF,BR0483,87165BAU,87165BAU7,MJ5BH4-S,True,0DMFBQ-E,0DMFBQ-E,,,FI,Synchrony Financial,VQYTRP-R,USD
15,66859471,ADTALEM GLOBAL EDUCATION 144A W/O RTS 5.5 USD 03/01/2028,US00737WAA71,ATGE,BMWSVR,00737WAA,00737WAA7,NTBLZ7-S,True,0NDN5S-E,000HJ4-E,000HJ4-E,,FI,Adtalem Escrow,W14WTL-R,USD
